id,weight,originHubId,destinationHubId,priority
PKG-000074,55.74,WH-046,WH-083, URGENT 
PKG-000075,439.30,WH-044,WH-009,LOW
PKG-000076,298.89,WH-078,WH-021,LOW
PKG-000077,351.97,WH-065, WH-051 ,URGENT
PKG-000078,92.05,WH-041,WH-020,LOW
PKG-000079,300.35,WH-009,WH-007,LOW
PKG-000080,75.41,WH-084,WH-088,URGENT
PKG-000081,387.83,WH-005,WH-079,urgent
PKG-000082,462.70,WH-006,WH-060,STANDARD
PKG-000083,474.39,WH-052,WH-040,LOW
PKG-000084,5.61,WH-004,WH-053,LOW

,65.42,WH-050,WH-090,LOW
PKG-000086,400.61,WH-016,WH-061,STANDARD
PKG-000087, 211.70978891833224 ,WH-050,WH-002,URGENT
PKG-000088,157.68, WH-054 ,WH-089,URGENT
PKG-000089,237.63,WH-084,WH-018,LOW
PKG-000090,,WH-045,WH-060,LOW
,null, WH-077 ,wh-025,STANDARD
PKG-000092,,WH-089,WH-036,LOW
PKG-000093,200.52,WH-068,WH-016,LOW
PKG-000094,57.35,WH-090,wh-095,LOW
,,WH-047,WH-060,LOW
PKG-000096,N/A,WH-032,WH-037,STANDARD
PKG-000097,123.78,WH-034,WH-017,LOW
PKG-000098,435.62,WH-002,WH-057,LOW
PKG-000099,321.30,WH-043,WH-014,URGENT
PKG-000100,127.71,WH-036,WH-095,URGENT
PKG-000101,107.70,WH-067,WH-018,urgent
pkg-000102,162.91,WH-066,WH-009,urgent
PKG-000103,296.73,WH-034,WH-040, STANDARD 
PKG-000104,237.35,WH-100,WH-089,URGENT
PKG-000105,131.64,wh-089,WH-041,URGENT
PKG-000106,447.45,WH-093,WH-006
 PKG-000107 ,159.37,WH-006,WH-033,
PKG-000108,101.90,WH-065,WH-015,URGENT
pkg-000109,392.49,WH-071,WH-011,STANDARD
PKG-000110,242.21,WH-070,WH-062,URGENT
PKG-000111,78.44,WH-059,WH-098,low
PKG-000112,328.91,WH-069,WH-017,URGENT
PKG-000113,79.20,WH-018,WH-064,URGENT
PKG-000114,null,WH-032,WH-011,STANDARD
PKG-000115,423.65, WH-038 ,WH-074,VIP
PKG-000116,122.24544320327588kg,WH-041,WH-052,STANDARD
PKG-000117,444.40,WH-074,WH-023,URGENT
PKG-000118,93.88,WH-078,WH-038,STANDARD
PKG-000119, 41.78978972239107 ,WH-016,WH-007,NONE
PKG-000120,252.50,WH-023, WH-088 ,low
PKG-000121,275.18,WH-042,WH-089,

 PKG-000122 ,362.52,WH-086,WH-051,LOW
PKG-000123,474.1309144430991kg,WH-078,WH-096,URGENT
PKG-000124,158.68,WH-087,WH-061,STANDARD
PKG-000125,140.11,WH-087,WH-021,STANDARD
PKG-000126,169.76,WH-085, WH-096 ,LOW
PKG-000127,83.26,WH-069,WH-098,LOW
PKG-000128,288.18,WH-069,WH-036,STANDARD
PKG-000129,140.26,WH-053,WH-025,LOW
PKG-000130,22.29,WH-075,WH-055,standard
PKG-000131,393.72,WH-091,WH-097, URGENT 
PKG-000132,322.39,WH-016,WH-084, LOW 
 PKG-000133 ,411.8495918621489kg,WH-063,WH-061,STANDARD
PKG-000134,129.97,WH-041,WH-054,URGENT
PKG-000135,272.00,WH-053,WH-073,STANDARD
PKG-000136, 437.35788138989227 ,WH-055,WH-051, URGENT 
PKG-000137,497.27,WH-008,WH-072,LOW
PKG-000138,269.71,WH-076,WH-067,URGENT
pkg-000139,124.85,WH-002,WH-046,standard
PKG-000140,347.81,WH-027,WH-018,STANDARD
PKG-000141,91.15,WH-093,WH-084,LOW
PKG-000142,466.99, WH-094 ,WH-009,STANDARD
PKG-000143,340.72,WH-100,WH-014,LOW
PKG-000144,443.59,WH-038,,STANDARD
PKG-000145,427.23,WH-030,WH-024,URGENT
PKG-000146,413.97,WH-021,WH-022,STANDARD
PKG-000147,455.68,WH-060,WH-057,URGENT
 PKG-000148 ,210.77,WH-092,WH-043,LOW
PKG-000149,497.84,WH-030,WH-057,URGENT
PKG-000150,null, WH-018 ,WH-046,URGENT
PKG-000151,269.07,WH-088,WH-087,LOW
 PKG-000152 ,240.10,WH-023,WH-039,low
PKG-000153,172.39,WH-048,WH-084,LOW
PKG-000154,188.59,,WH-067,STANDARD
PKG-000155,497.65,WH-002,wh-032,URGENT
PKG-000156,80.23,WH-066,wh-082,STANDARD
PKG-000157,92.90, WH-069 ,WH-044,URGENT
PKG-000158,6.26,WH-034,WH-078,STANDARD
PKG-000159,385.04,wh-045,WH-033,LOW
PKG-000160,324.84,WH-088,WH-018,LOW
PKG-000161,92.55,WH-064,WH-059,URGENT
PKG-000162,15.42,WH-007,WH-030,STANDARD
PKG-000163,155.41,WH-069,,STANDARD
PKG-000164,431.13,WH-084,WH-063, STANDARD 
PKG-000165,492.23,WH-083,,STANDARD
PKG-000166,167.70,WH-075,WH-001,low
PKG-000167,423.27,WH-015,WH-041,EXPRESS
pkg-000168,187.75,WH-003,wh-067,URGENT

PKG-000169,27.79,WH-041, WH-076 ,standard
PKG-000170,25.588539074641545kg,WH-008,WH-021,URGENT
PKG-000171,431.95,WH-007,WH-028,STANDARD
PKG-000172,22.68,WH-053,WH-004,CRITICAL
PKG-000173,285.34,WH-095,WH-061,URGENT
PKG-000174,435.31,WH-045,WH-058
PKG-000175,344.25,WH-080,WH-049,STANDARD
PKG-000176,208.62,WH-003,WH-075,urgent
PKG-000177,null,WH-042,WH-052,STANDARD
PKG-000178,319.62,WH-068,WH-006,URGENT
,159.92,WH-092, WH-066 ,vip
PKG-000180,112.01,WH-021,WH-048,STANDARD
PKG-000181,214.30,,WH-044,NONE
PKG-000182,236.05,WH-096,WH-072,STANDARD
PKG-000183,389.7270681965549kg,WH-022,WH-089,STANDARD
PKG-000184,168.52,WH-077,WH-007,STANDARD
PKG-000185,296.61,WH-010,WH-035,LOW
PKG-000186,334.74,WH-059,WH-036,URGENT
PKG-000187,299.79,WH-025,WH-083, STANDARD 
PKG-000188,288.58,WH-086,WH-063,URGENT
PKG-000189,56.30,WH-067,WH-002,urgent
 PKG-000190 ,null,WH-035,WH-019,URGENT
PKG-000191,39.85,WH-066,WH-032, URGENT 
 PKG-000192 ,141.68,WH-064,WH-073,LOW
PKG-000193,101.58,WH-040,WH-013,LOW
PKG-000194,337.45,WH-093,WH-021,URGENT
PKG-000195,,WH-057,WH-090,URGENT
PKG-000196,35.32,WH-089,WH-097,URGENT
pkg-000197,144.94,WH-005,WH-087,STANDARD
PKG-000198,339.98,WH-050,WH-035,URGENT
PKG-000199,281.07, WH-061 ,WH-008,LOW
PKG-000200,111.67,WH-098,WH-006,STANDARD
PKG-000201,101.35,WH-060,WH-042,LOW
PKG-000202,128.98,wh-046,WH-040,URGENT
PKG-000203,123.09,WH-009,wh-044,URGENT
 PKG-000204 ,228.83949067169982kg,wh-036,WH-052,STANDARD
PKG-000205,381.04,WH-074,wh-052,LOW
PKG-000206,452.63,WH-070,WH-085,URGENT
PKG-000207,40.86,wh-082,WH-079,STANDARD,
PKG-000208,136.52016038662458kg,WH-025,wh-002,STANDARD
PKG-000209,291.62,WH-088, WH-027 ,urgent
pkg-000210,57.05,WH-002, WH-068 ,STANDARD
PKG-000211,404.66,WH-001,WH-086,URGENT

PKG-000212,57.38,WH-030,wh-051,URGENT
PKG-000213,460.04,wh-019,WH-027,URGENT
PKG-000214,188.14,WH-035,WH-052,STANDARD
PKG-000215,260.73,WH-009,wh-090,STANDARD
PKG-000216,265.31,WH-083,wh-050,urgent
PKG-000217,278.20,WH-004,WH-020,LOW
PKG-000218,403.99,WH-067,WH-011,LOW
PKG-000219,353.53,WH-012,WH-083, STANDARD 
PKG-000220,490.99,WH-091,WH-060,EXPRESS
PKG-000221,343.70,WH-062,WH-079,LOW
PKG-000222,213.61, WH-030 ,WH-058,LOW
PKG-000223,280.86,WH-076,WH-078,URGENT
PKG-000224,233.33,WH-032,WH-013,urgent
pkg-000225,173.87,WH-070,WH-024,STANDARD
PKG-000226,241.87,WH-057,WH-019,URGENT

PKG-000227,42.88,WH-037,WH-093,LOW
PKG-000228,89.72,wh-086,WH-065,STANDARD
PKG-000229,20.58,WH-032,wh-016,NONE
PKG-000230,203.21,WH-090,WH-014,LOW
PKG-000231,347.56,WH-030,WH-035,URGENT
PKG-000232,156.18,WH-099,WH-073,STANDARD
PKG-000233,121.08,WH-065,WH-099,LOW
PKG-000234,9.83,WH-058,WH-062,STANDARD,
PKG-000235,281.87, WH-053 ,WH-055,LOW
pkg-000236,119.26,WH-092,WH-001,URGENT
pkg-000237,407.92,WH-053,WH-052,
PKG-000238,19.96,WH-015,WH-097,URGENT
PKG-000239,68.37,WH-017,WH-018,low
PKG-000240,253.28,WH-008,WH-066,LOW
PKG-000241,330.26,WH-041,WH-067,STANDARD
PKG-000242,135.45,wh-050,WH-048,URGENT
PKG-000243,289.99,WH-088,WH-080,STANDARD
PKG-000244, 449.0630050191789 ,WH-049,WH-065,LOW
PKG-000245,119.24,WH-070,WH-053,STANDARD
pkg-000246,16.574550872158387kg,WH-017,WH-083,STANDARD
PKG-000247,211.07,WH-013,WH-048,URGENT
PKG-000248,95.46,WH-089,WH-002,low
PKG-000249,386.19,WH-099, WH-029 ,LOW
PKG-000250,306.37,WH-065,WH-080, URGENT 
PKG-000251,241.70,WH-073,WH-016,NONE
PKG-000252,413.31,WH-011,WH-065,LOW
PKG-000253,497.94,WH-054, WH-045 ,STANDARD
PKG-000254,187.99,WH-020,WH-017,LOW
PKG-000255,114.37,WH-079,WH-082,URGENT
PKG-000256,null,WH-083, WH-080 ,LOW
PKG-000257,476.17,WH-019,WH-093,STANDARD
PKG-000258,87.39,, WH-015 ,standard
PKG-000259,204.23,WH-036,WH-024, URGENT 
PKG-000260,445.13,WH-064,WH-061,LOW
PKG-000261,134.28,WH-016,WH-067,URGENT
PKG-000262,262.01,WH-045,,URGENT
PKG-000263,262.50,WH-069,WH-074,URGENT
PKG-000264,156.04,WH-010,wh-032,STANDARD
pkg-000265,378.02,WH-065,WH-062,STANDARD
PKG-000266,51.51,wh-038,WH-089,LOW
PKG-000267,91.81,WH-026,WH-012,LOW
PKG-000268,355.06,WH-062,WH-037,LOW
PKG-000269,455.21,WH-074,WH-081,STANDARD
PKG-000270,,WH-002,WH-092,STANDARD
PKG-000271,60.90,WH-071,WH-054,LOW
 PKG-000272 ,83.27,WH-081,WH-049,URGENT
PKG-000273,293.43,WH-008,WH-062,URGENT
PKG-000274,482.43,WH-093,WH-012,URGENT
PKG-000275,132.41,WH-020,WH-089,LOW
PKG-000276,263.19,,WH-040,LOW
PKG-000277,387.78,WH-001,WH-073,CRITICAL
PKG-000278,194.81,WH-080,WH-021,standard
PKG-000279,31.81,WH-087,WH-035,STANDARD
PKG-000280,30.04,WH-035,WH-090,LOW
PKG-000281,226.97,WH-059,WH-008,URGENT
PKG-000282,73.07,WH-035,WH-100,LOW
PKG-000283,421.00,WH-032,WH-086,URGENT
PKG-000284,269.21,WH-044,WH-064,URGENT
PKG-000285,462.28,WH-035,WH-079,URGENT
PKG-000286,231.91,WH-078,WH-036,STANDARD
 PKG-000287 ,472.97,WH-016,WH-050,STANDARD
PKG-000288,58.35,WH-071,WH-052,STANDARD
PKG-000289,266.84,WH-011,WH-080,LOW
PKG-000290,89.63,WH-083,WH-024,LOW
PKG-000291,288.67,WH-076,wh-091,URGENT
PKG-000292,484.60,,WH-062,LOW
,321.19,WH-098,WH-044,urgent
PKG-000294,null,WH-025,WH-036,STANDARD
PKG-000295,465.71,WH-032,WH-040,LOW
PKG-000296,211.39, WH-037 ,WH-015,STANDARD
PKG-000297,445.91,WH-080,WH-020,URGENT
PKG-000298,252.35,WH-035,WH-072,LOW
PKG-000299,412.12,WH-026,WH-067,STANDARD
PKG-000300,251.56,WH-004,WH-007,LOW
PKG-000301,331.80,WH-067,WH-008,URGENT
PKG-000302,411.49,WH-029,WH-030,VIP
PKG-000303,437.30,WH-040,WH-043,
PKG-000304,11.68,WH-081,WH-028,STANDARD
PKG-000305, 110.52212542085024 ,WH-009,WH-035,CRITICAL
PKG-000306,357.83,WH-008,wh-066,STANDARD
PKG-000307,384.16,WH-012,WH-061,STANDARD
PKG-000308,145.37,WH-094,WH-063,STANDARD
PKG-000309, 439.5173910976864 ,WH-068,WH-069,STANDARD
PKG-000310,106.13,WH-052, WH-088 ,URGENT
PKG-000311,111.21,WH-031,WH-072,LOW

PKG-000312,196.91,WH-047,WH-048,LOW
PKG-000313,191.12,wh-070,wh-031,STANDARD
PKG-000314,44.77,,WH-012,LOW
PKG-000315,51.32,WH-027,WH-049,STANDARD
PKG-000316,341.64,WH-005,WH-088,LOW
PKG-000317,84.66,WH-058,WH-098,URGENT
PKG-000318,280.22,WH-081,WH-007,LOW
PKG-000319,187.97,WH-033,WH-007,STANDARD
PKG-000320,268.71,WH-044,
PKG-000321,59.74,WH-069,WH-015,URGENT
PKG-000322,355.48,WH-002,WH-080,URGENT
PKG-000323,424.78,WH-048,WH-033,URGENT
PKG-000324,280.47,WH-068,WH-092,STANDARD
PKG-000325,200.95,WH-073,WH-021,STANDARD
PKG-000326,70.32,WH-075,WH-070,
PKG-000327,278.26,WH-096,WH-025, LOW 
PKG-000328,165.52,WH-057,WH-040,URGENT
PKG-000329,201.53,WH-050, WH-079 ,STANDARD
PKG-000330,351.44,WH-093,,URGENT
PKG-000331,446.48,WH-061,WH-056,LOW
PKG-000332,224.96,WH-001,WH-009,LOW
PKG-000333,447.22,WH-018,WH-047,STANDARD
PKG-000334,104.18,WH-051,WH-057,LOW
PKG-000335,352.62,WH-045,WH-049,LOW
PKG-000336,469.44,WH-003,WH-082,STANDARD
PKG-000337,371.50,WH-017,WH-031,LOW
PKG-000338,467.58,WH-007,WH-079,STANDARD,
PKG-000339,318.65,WH-081, WH-086 ,URGENT
PKG-000340,369.93,wh-067,WH-031, STANDARD 
PKG-000341,438.59,WH-020,WH-027,STANDARD
PKG-000342,127.52,WH-070,WH-032,LOW
PKG-000343,115.04,WH-089,WH-067,CRITICAL
PKG-000344,284.46,WH-050,WH-090,LOW
PKG-000345,272.66883070900195kg,WH-082,WH-010,LOW
PKG-000346,190.57,WH-057,WH-064,STANDARD
 PKG-000347 ,114.92,WH-050,WH-030,URGENT
PKG-000348,16.08,WH-074,WH-068, STANDARD 
PKG-000349,491.97,WH-053,,STANDARD
pkg-000350,154.72,WH-051,WH-017,urgent
PKG-000351,157.94,wh-001,WH-057,URGENT
PKG-000352,454.23,WH-009,WH-020,URGENT
PKG-000353,180.45,WH-010,WH-070, URGENT 
PKG-000354,402.37,WH-086,WH-041,URGENT
PKG-000355,195.67,WH-036,WH-021,STANDARD
PKG-000356,245.17,WH-076,WH-017,STANDARD
PKG-000357,444.43, WH-004 ,WH-001
PKG-000358,207.82,WH-097,WH-009,standard
PKG-000359,61.94,WH-067,WH-049,STANDARD
PKG-000360,51.83,wh-099,WH-059,STANDARD
PKG-000361,482.17,WH-023,WH-096,STANDARD
PKG-000362,26.86,WH-073,WH-026, STANDARD 
pkg-000363,184.45,WH-073,WH-018,STANDARD
PKG-000364,329.20,WH-025,WH-077,LOW
PKG-000365,359.03,,WH-022,STANDARD
PKG-000366,276.42,WH-040,WH-062,URGENT
PKG-000367,487.19,WH-064,WH-046,URGENT
PKG-000368,20.43,,WH-087,STANDARD
PKG-000369,128.01,WH-087,WH-049,LOW
PKG-000370,95.97,WH-072,WH-013,STANDARD
PKG-000371,494.66,WH-072,WH-077,standard
 PKG-000372 ,298.04,WH-100,WH-074,URGENT
PKG-000373,N/A,WH-006,WH-084,STANDARD
pkg-000374,388.77,WH-100,WH-010,LOW
PKG-000375,394.58,WH-093,WH-019,URGENT
PKG-000376,459.51,WH-054,WH-045,URGENT
PKG-000377,308.11,WH-082, WH-058 ,STANDARD
PKG-000378,312.70,WH-014,WH-002,STANDARD
PKG-000379,424.50,WH-029,WH-078,STANDARD
PKG-000380,259.30,WH-022,WH-021,LOW
PKG-000381,153.01,WH-068,WH-069,STANDARD
PKG-000382,494.07,WH-059,WH-004,URGENT
PKG-000383,463.04,WH-086,WH-001,LOW
PKG-000384,null,WH-003, WH-057 ,URGENT
pkg-000385,209.77,WH-082,WH-006,URGENT
PKG-000386,189.06,WH-042,WH-015,URGENT
PKG-000387,55.83,WH-060,WH-068,URGENT
PKG-000388,N/A,WH-086,WH-003,URGENT
PKG-000389,240.81,WH-032,WH-013,URGENT
PKG-000390,212.31,WH-024,,STANDARD,
PKG-000391,17.40,WH-080,WH-091,URGENT
 PKG-000392 ,20.51, WH-045 ,WH-007,LOW
PKG-000393,490.55, WH-070 ,WH-075,STANDARD
PKG-000394,124.44,wh-079,WH-058,
PKG-000395,482.07,WH-014,WH-008,LOW
PKG-000396,316.90,WH-057,WH-001,urgent
PKG-000397,160.26,WH-008,WH-083,LOW
PKG-000398,466.14,WH-028,WH-015,LOW
PKG-000399,38.31,WH-072,WH-052,LOW
PKG-000400,190.00,wh-061,WH-038,STANDARD
PKG-000401,380.78,WH-079,WH-043
PKG-000402,2.24,WH-032,WH-052,URGENT
PKG-000403,444.00,WH-056,WH-086,LOW
PKG-000404,32.95,WH-047,WH-084,CRITICAL
PKG-000405, 225.29581440417283 ,WH-026,WH-019,LOW
PKG-000406,366.53,WH-074,WH-041, LOW 
PKG-000407,86.32635182132152kg, WH-040 ,WH-015,LOW
PKG-000408,236.28,WH-014,WH-043,LOW
PKG-000409,14.56,WH-090,WH-055,low
PKG-000410,349.34,WH-001,WH-079,STANDARD
PKG-000411,248.89,WH-037, WH-070 , URGENT 
PKG-000412,378.33,wh-006,WH-025,low
PKG-000413,235.55,WH-077,WH-025,STANDARD
PKG-000414,477.35,WH-071,WH-031,STANDARD
PKG-000415,N/A,WH-063,WH-075,STANDARD
PKG-000416,50.90,WH-073,WH-067,LOW
PKG-000417,39.95,WH-020,WH-067,LOW
PKG-000418,230.32,WH-098,WH-081,LOW
PKG-000419,341.90,WH-003,WH-002, STANDARD 
PKG-000420,105.13,wh-022,WH-058,CRITICAL
PKG-000421,197.38,WH-022,WH-012,URGENT
PKG-000422,298.58,WH-045,WH-076,STANDARD
pkg-000423,436.81,WH-044,WH-052
PKG-000424,64.60,WH-067,WH-053,URGENT
PKG-000425,258.66,WH-006,WH-019,STANDARD
PKG-000426,35.04,WH-064,WH-061,LOW
PKG-000427,31.36,WH-003,WH-080,LOW
PKG-000428,120.79,WH-013,WH-004, STANDARD 
PKG-000429,421.70,WH-053,WH-069, LOW 
PKG-000430,334.76,WH-055,WH-077,URGENT
PKG-000431,51.07,WH-082,WH-022,URGENT
PKG-000432,335.84,WH-082,WH-065,LOW
PKG-000433,229.52,WH-069,WH-061,STANDARD
PKG-000434,270.32,WH-055,wh-052,LOW
PKG-000435,16.10,WH-098,WH-025,LOW
PKG-000436,404.88,WH-043,WH-006,URGENT
PKG-000437,123.08,WH-088,WH-035,LOW
,159.67,WH-034,,STANDARD
PKG-000439,106.88,WH-056,WH-062,LOW
PKG-000440,56.26,WH-086,WH-047,LOW
PKG-000441,413.53,WH-041,WH-074,URGENT
PKG-000442,309.04,WH-042,WH-091,URGENT
PKG-000443,426.14,WH-074,WH-046,URGENT
PKG-000444,321.38,,WH-026,LOW
PKG-000445,201.49,WH-041,wh-021,URGENT
PKG-000446,438.54,WH-009,WH-069,URGENT
PKG-000447,188.54,wh-038,WH-015,STANDARD
PKG-000448,78.10,WH-009,WH-088,standard
PKG-000449,433.71,WH-033,WH-071,STANDARD
PKG-000450,435.94,WH-070,WH-038,STANDARD
PKG-000451,194.64,WH-077,WH-096,express
PKG-000452,472.92,WH-058,WH-021, STANDARD 
PKG-000453,114.61,WH-038,WH-092,LOW
PKG-000454,381.10, WH-075 , WH-006 , URGENT 
pkg-000455,24.48,WH-008,WH-038,URGENT
PKG-000456,410.17,WH-068,WH-042,
PKG-000457,388.71,WH-096,WH-042,STANDARD
PKG-000458,254.83,WH-026,WH-003,URGENT
PKG-000459,122.48,WH-039,WH-069,STANDARD
PKG-000460,403.51,WH-027,,LOW
PKG-000461,347.24, WH-059 ,WH-062,STANDARD
PKG-000462,411.88,WH-080,WH-070,LOW
PKG-000463,null,WH-059,WH-055,LOW
PKG-000464,311.53,WH-030,WH-017,LOW
PKG-000465,null,WH-064,WH-046,STANDARD

PKG-000466,153.35,WH-052,WH-099,LOW
PKG-000467,137.21,WH-085,WH-096,STANDARD
PKG-000468,295.94,WH-085,WH-030, URGENT 
PKG-000469,162.64886573588768kg,WH-020,WH-047,STANDARD
PKG-000470,262.07,WH-048,WH-063,STANDARD
PKG-000471,304.77,WH-091,WH-069,LOW
PKG-000472,108.49,WH-020,,URGENT
PKG-000473,214.17,WH-096,WH-047,EXPRESS
PKG-000474,446.78,WH-053,WH-081,URGENT
PKG-000475,490.79,WH-044,WH-043,URGENT
PKG-000476,351.60,WH-035,WH-019,URGENT
PKG-000477,N/A,WH-074,WH-049,URGENT
PKG-000478,132.51,WH-057,WH-081,NONE
PKG-000479,111.31,WH-095,WH-035,URGENT
PKG-000480,446.46,WH-074,WH-038,LOW
PKG-000481,297.72,WH-083,WH-042,URGENT
PKG-000482,404.38,WH-092,WH-060,STANDARD
PKG-000483,74.41,WH-015,WH-055,LOW
PKG-000484,444.83,,WH-027,STANDARD
 PKG-000485 ,487.49,WH-027,WH-081,STANDARD
PKG-000486,307.86,WH-055,WH-021,VIP
PKG-000487,274.38,WH-026,WH-008,LOW
PKG-000488,115.97,WH-040,WH-050,LOW
PKG-000489,478.79,WH-037,WH-059,URGENT
PKG-000490,222.57,WH-038, WH-081 ,URGENT
PKG-000491,331.58,WH-029,WH-034,URGENT
PKG-000492,419.30,WH-035,WH-089,STANDARD
 PKG-000493 ,,WH-035,WH-036,
PKG-000494,172.84,WH-020,WH-090,URGENT
PKG-000495,N/A,WH-099,WH-067,URGENT
PKG-000496,116.94,WH-073,WH-012,LOW
PKG-000497,444.53,WH-056,WH-018,URGENT,
PKG-000498,161.629220982721kg,WH-002, WH-011 ,URGENT
PKG-000499,43.76,WH-076,WH-053,LOW
PKG-000500,282.38,WH-096, WH-015 ,URGENT
PKG-000501,280.38, WH-088 ,WH-035,NONE
PKG-000502,416.79,WH-099,WH-048,LOW
PKG-000503,165.70,WH-082,WH-016,STANDARD
PKG-000504,5.99,WH-015,WH-005,STANDARD
pkg-000505,130.92,WH-089,WH-045,
PKG-000506,425.01,WH-018,WH-071,URGENT
PKG-000507,156.55,WH-067,WH-032,low
PKG-000508,82.28, WH-085 ,WH-097,URGENT
PKG-000509,80.34,WH-068,WH-080,URGENT
PKG-000510,N/A,WH-070,WH-043,LOW
PKG-000511,23.87,wh-094,WH-077,URGENT
PKG-000512,155.42,WH-025,WH-055,URGENT
PKG-000513,323.52, WH-074 ,WH-089,low
 PKG-000514 ,211.92,,WH-039,URGENT
PKG-000515, 343.6464725456314 ,WH-055,WH-044,STANDARD
PKG-000516,139.28,WH-071,WH-051,STANDARD
PKG-000517,279.85,WH-041,WH-097,URGENT
PKG-000518,471.52, WH-092 ,WH-030,LOW
PKG-000519,202.31,WH-095, WH-089 ,STANDARD
PKG-000520,323.76,WH-064,WH-013,URGENT
PKG-000521,266.15,WH-018,WH-034,STANDARD
PKG-000522,25.15,WH-100, WH-083 ,LOW
PKG-000523,196.94,WH-013,WH-016,LOW

PKG-000524,178.06,WH-043,WH-077,STANDARD
PKG-000525,69.26, WH-074 ,WH-021,STANDARD
PKG-000526,272.08,WH-047,WH-066,URGENT
PKG-000527,491.30,wh-054,WH-052,EXPRESS
PKG-000528,183.20,WH-026,WH-054,URGENT
PKG-000529,392.92,,WH-079,LOW
PKG-000530,439.12,WH-005,WH-083,URGENT
PKG-000531,361.54,WH-085,WH-067,LOW
PKG-000532,282.78,WH-075,WH-021,NONE
PKG-000533,139.29,WH-094,WH-078,LOW
pkg-000534,265.82,WH-020,WH-093,STANDARD
PKG-000535,342.59,WH-023,WH-033,URGENT
