vehicleId,currentHubId,maxCapacityKg,costPerKm
TRK-0053, WH-003 ,9749.59,1.64
TRK-0054,WH-052,13976.244063746895kg,N/A
 TRK-0055 ,WH-082,19304.05,1.01
,WH-038,N/A,1.07
TRK-0057, WH-086 ,10084.80,1.25
TRK-0058,WH-060,4308.40,2.25
TRK-0059,WH-072,4413.15,2.92
TRK-0060,WH-016,13359.61,3.66
TRK-0061,WH-075,2607.23,N/A
TRK-0062,WH-009,15562.77,0.54
TRK-0063,WH-066,3619.69,0.52

TRK-0064,WH-036,5253.62,1.38
,WH-053,7884.69,N/A
TRK-0066,,10839.98,3.07
TRK-0067,WH-094,2552.35,0.78
TRK-0068, WH-097 ,null,2.73
TRK-0069,WH-062,5968.25,
trk-0070,WH-071,4807.16,3.43
TRK-0071,,8924.04,3.07
TRK-0072,WH-040,9835.27,1.41
TRK-0073,WH-092,12019.36,3.98
trk-0074,WH-034,9764.79,0.73
TRK-0075,WH-080,8815.59,N/A
TRK-0076,WH-004,13854.32,3.73
trk-0077,WH-028,18014.46,1.28
TRK-0078,WH-084,16379.95, 2.5185886865562694 
TRK-0079,WH-066,11352.570034616921kg,2.64
TRK-0080,wh-069,18204.91,1.22
TRK-0081, WH-025 ,,3.92
TRK-0082,WH-040, 12553.01772573734 ,1.09
trk-0083,WH-031,19527.46,1.01
TRK-0084,WH-065,17402.09,2.63

TRK-0085,WH-053,2809.08,2.92
TRK-0086,wh-002,19338.60,1.82
TRK-0087,wh-018,13884.95,0.87
TRK-0088,WH-044,13645.71,2.25
TRK-0089,WH-046,15362.63,N/A
TRK-0090,WH-052,17913.70,0.78
TRK-0091,WH-013,3208.78,3.39
TRK-0092,WH-067,17387.14,4.38
TRK-0093,WH-020,3951.68,null
TRK-0094,WH-095,15642.97,2.19
TRK-0095,WH-029,19944.38,2.23
TRK-0096,WH-043,13223.30,3.36
TRK-0097,WH-020,5138.41,0.69
TRK-0098,WH-067,9969.18,4.29
TRK-0099, WH-030 ,7505.35,2.46
TRK-0100,WH-097,16442.41,3.68
TRK-0101,WH-003,2652.92,4.30
TRK-0102,WH-058,10470.66,2.44,
TRK-0103,WH-013,N/A,4.49
TRK-0104,WH-001,16991.08,1.09
TRK-0105,WH-009,11302.79,1.53
TRK-0106,WH-029,11339.609175027228kg,1.61
TRK-0107,WH-024,12501.64,3.17
TRK-0108,WH-059,7300.34,1.38
TRK-0109,WH-067,14999.93,0.61
TRK-0110,WH-021,2044.98,2.05
TRK-0111,WH-007, 19780.626665086293 ,2.13
TRK-0112,WH-075,,3.63
TRK-0113,WH-094,19284.15,3.52
TRK-0114,WH-005,5213.65,0.83
TRK-0115,WH-016,11440.23,1.28
TRK-0116,WH-021,16633.09,0.71
TRK-0117,WH-057,18341.89,3.21
trk-0118,wh-038, 4885.895852019281 ,1.75
TRK-0119,WH-081, 6097.723452679511 ,1.81
TRK-0120,WH-032,5401.25,2.74
TRK-0121,WH-063,766.39,1.85
TRK-0122,WH-025, 11709.775096604784 ,1.67
TRK-0123,WH-031,13680.20,1.14
TRK-0124,WH-047,2140.26,0.55
TRK-0125,WH-042,2865.72,N/A
TRK-0126,WH-038,10179.00,0.58
TRK-0127,WH-055,10672.77,0.54
TRK-0128,WH-009,15239.49,4.35
TRK-0129,WH-064,18778.58,1.02
 TRK-0130 ,WH-075,3319.33,1.31
TRK-0131,WH-022,4710.81,3.78
TRK-0132,WH-029,18948.08,4.02
TRK-0133,WH-079,1268.25,2.83
TRK-0134,WH-021,15998.61,1.21
TRK-0135,WH-073,19434.09,3.48
TRK-0136,WH-035,3472.26,
TRK-0137,WH-078,null
TRK-0138, WH-018 ,2546.44,N/A
TRK-0139,WH-009,4461.60,1.22
TRK-0140,WH-090,4817.16,2.58
TRK-0141,WH-034,2279.24,3.27
TRK-0142,WH-032,10979.90,1.50
,WH-093,18856.86,2.85
trk-0144,wh-097,8916.65,4.03
 TRK-0145 ,WH-040,7473.14,3.62
TRK-0146,WH-077,13020.59,1.17
TRK-0147,WH-095,9228.57,0.95
TRK-0148,WH-049,10077.91, 2.299048929529148 
TRK-0149,WH-050,3877.95,1.89
TRK-0150,WH-100,4785.68, 1.1897053638926733 
 TRK-0151 , WH-007 ,18704.29,1.63
trk-0152,WH-027,9379.44,3.65
TRK-0153,WH-020,5581.10,1.70
TRK-0154,WH-067, 3804.168124903123 ,3.62
TRK-0155,WH-075,8239.62,null
TRK-0156,wh-085,11522.71,2.06
trk-0157,WH-084,2916.39,4.28
TRK-0158,WH-019,17892.34,1.72
TRK-0159,WH-068,11416.44,2.51
TRK-0160,WH-039,14809.30,2.70
 TRK-0161 ,WH-051,4051.32,2.55
trk-0162,WH-016,4182.518110293249kg,1.39
TRK-0163,WH-088,19429.62,N/A
 TRK-0164 ,WH-078,15961.85,0.58
TRK-0165,WH-080,19507.71, 3.658616770876534 
TRK-0166,WH-084,8293.94,3.81
TRK-0167,WH-021,19712.32,3.20
TRK-0168,WH-077,17799.66,4.06
TRK-0169,wh-099,13548.92,0.95
TRK-0170,WH-097,5378.60,0.50
TRK-0171,WH-053,6826.85,1.06
TRK-0172,WH-045,9420.68,2.82
TRK-0173,WH-055,19046.63,0.73
TRK-0174,WH-097,3449.51,1.44
TRK-0175,wh-059,9510.91,1.91
TRK-0176, WH-044 ,15727.22,2.42
 TRK-0177 ,WH-037,13346.19,2.70
TRK-0178,WH-038,5895.51,0.96
TRK-0179,WH-079,14212.08,1.64
TRK-0180,WH-023,4711.65,2.20
TRK-0181,WH-004,17572.23,3.48
trk-0182,WH-047,8529.76,1.15
trk-0183,WH-013,1787.14,2.73
TRK-0184,WH-005,16278.90,1.69
TRK-0185,WH-004,629.31,2.99
 TRK-0186 ,WH-048,6960.92,1.91
TRK-0187,WH-050,12818.16,4.38
TRK-0188,WH-078,8488.28,4.22
TRK-0189,WH-069,13098.39,2.61
TRK-0190,WH-054,8609.29,1.43
TRK-0191,WH-090,4191.27,2.51
TRK-0192,WH-060,14339.98,3.72
TRK-0193,WH-023,4826.25,1.17
TRK-0194,wh-092,2723.24,3.35
TRK-0195,WH-033,10600.03,1.74
TRK-0196,WH-080,11623.18, 4.010099160712663 
 TRK-0197 ,WH-023,7345.93,1.25
TRK-0198,WH-044,18135.25,2.18
TRK-0199,WH-084,10500.49,4.01
TRK-0200,WH-087, 8533.863539445052 ,1.98
TRK-0201,WH-097,1282.41,2.24
TRK-0202,WH-055,3091.66, 3.5202477795476472 

TRK-0203,WH-021,14094.86,1.77
TRK-0204,WH-002,3875.16,3.57
TRK-0205,WH-095,6314.36,1.78
TRK-0206,WH-037,9850.19,4.17
 TRK-0207 ,wh-014,19317.26,0.63
TRK-0208,WH-083,null,3.20,
TRK-0209,WH-009,15023.68,3.25
TRK-0210,WH-056,18094.60,2.83
TRK-0211,WH-083,2577.77,null
TRK-0212,WH-093,18775.61,3.86
TRK-0213, WH-070 ,6559.32,3.92
TRK-0214, WH-095 ,11064.56,0.63
TRK-0215,WH-019,16583.42,3.86
TRK-0216,WH-038,15947.24,1.49
TRK-0217,WH-009,N/A,2.11
trk-0218,WH-027,3773.08,3.09
,wh-074,4543.67,2.87
TRK-0220,WH-016,6662.19,1.67
TRK-0221,WH-056,16348.01,2.44
TRK-0222,wh-045,5893.41,4.30
TRK-0223,WH-063,13536.16,4.48
TRK-0224,WH-065,8005.60,0.70
TRK-0225,WH-090,8135.17,2.18
TRK-0226,WH-042,12522.14,1.08
TRK-0227,WH-055,14889.51,0.58
TRK-0228,WH-012,18768.39, 1.4688603440480166 
TRK-0229,WH-040, 7672.463988616549 ,4.04
TRK-0230,WH-085,8119.47,1.24
TRK-0231,WH-071,13547.14,3.37,
TRK-0232,WH-032,12505.610018356345kg,1.03
TRK-0233,,1503.32,1.60
TRK-0234,WH-068,16767.73,3.44
TRK-0235, WH-013 ,5480.74,0.91
TRK-0236,WH-031,2844.44,2.63
TRK-0237,WH-011,,3.62
TRK-0238,WH-058,14732.91,3.79
TRK-0239,WH-022,19066.73,3.57
TRK-0240,WH-030,13822.64,2.17
TRK-0241,WH-022,7397.45,3.24
TRK-0242,WH-076,,1.49
TRK-0243,WH-086,12159.37,1.80
TRK-0244,WH-001,10335.12,1.15
trk-0245,WH-018,9495.15,2.07
TRK-0246,WH-100,15160.85,3.58,
TRK-0247,WH-049,11456.05,0.71
TRK-0248,WH-052,7415.72,0.99
trk-0249,WH-006,7715.60,3.30
TRK-0250,WH-099,15624.72,3.36
TRK-0251,WH-096,13770.40,2.23
 TRK-0252 ,WH-064,18635.55,1.61
TRK-0253,wh-086,11796.32,4.20
TRK-0254,WH-033,16262.18,4.28
TRK-0255,WH-051,N/A,4.01
TRK-0256,WH-008,8694.62,3.50
TRK-0257, WH-094 ,3473.94,2.19
,WH-086,18856.39,0.74
TRK-0259,WH-005,6817.67,4.01
TRK-0260,WH-095,3865.76,3.29
TRK-0261,WH-015,8985.36,2.79
TRK-0262,WH-089,5366.60,3.38
TRK-0263,WH-063,9301.54,1.71
TRK-0264,WH-030,15477.03,4.33
TRK-0265,WH-021,9136.57,
TRK-0266,,5647.54,3.07
TRK-0267,WH-093,10319.856525861429kg, 3.4552790249149288 
TRK-0268,WH-037,15339.00,3.69
TRK-0269,WH-023,5174.74,3.75
TRK-0270,WH-062,1095.94,N/A
,wh-064,10057.06,N/A
TRK-0272,WH-006,11251.94,3.12
TRK-0273,wh-038,2006.62,
TRK-0274,WH-070,12767.86,0.70
TRK-0275,WH-075,12795.273905088248kg,1.74
TRK-0276,WH-068,2930.23,0.59
TRK-0277,WH-071,9859.95,1.61
TRK-0278,WH-092,8588.01,0.51
TRK-0279,WH-075,13732.09,1.05
TRK-0280,WH-063,8774.15,2.54
TRK-0281,WH-023,15094.59,2.28
,WH-032,17223.67,4.24
TRK-0283,WH-098,12248.23
TRK-0284,WH-076,1801.83,4.18
TRK-0285,WH-069,11850.73
TRK-0286,WH-022,16806.50,2.70
TRK-0287,WH-088,1860.61,1.39
 TRK-0288 ,WH-030,18931.04,4.43
TRK-0289, WH-093 ,17213.40,3.68
TRK-0290,WH-061,15279.86,3.78
TRK-0291,WH-002,18817.97,4.30
TRK-0292,WH-099,4556.15
trk-0293,WH-023,17909.31,1.28
TRK-0294,WH-073,13345.80,0.80
TRK-0295,WH-055,16922.46,1.96
TRK-0296,WH-004,14573.04,2.71
TRK-0297,wh-049,15162.39,4.17
TRK-0298,WH-054,3848.16,3.44
TRK-0299,WH-029,6528.02
TRK-0300,WH-099,2413.98,3.14
