routeId,originHubId,destinationHubId,distanceKm,typicalDelayMin
RT-00171,WH-067,WH-064,1370.03,95
RT-00172,WH-022,,880.34,198
RT-00173,wh-033,,403.75,176
RT-00174,WH-066,WH-017,1385.41,323
,WH-028,WH-075,383.52,285
RT-00176,WH-073,WH-006,144.52,345
RT-00177,wh-089,wh-001,1141.30,
RT-00178,WH-044,WH-015,595.01,262
 RT-00179 ,WH-041, WH-072 ,623.79,292
RT-00180,WH-033,WH-085,923.17,270
RT-00181,WH-007,WH-031,1052.46,68
RT-00182,WH-098,WH-030,1275.22,243
rt-00183,WH-048,WH-055,99.59,86
RT-00184,WH-080,WH-078,1060.74,232
RT-00185,WH-036,WH-026,1404.30,111
RT-00186,WH-048,WH-050,647.33,275
RT-00187,WH-041,WH-053,824.65,306
RT-00188,WH-066,WH-058,1420.88,202
RT-00189,WH-100,WH-022,133.91
RT-00190,WH-037,WH-083,576.52,49
RT-00191,WH-077,WH-098,1272.33,299
RT-00192, WH-075 ,WH-081,672.33,351
rt-00193,WH-005,WH-004,37.63,164
RT-00194,WH-016,WH-038,664.11,214
RT-00195,WH-098,WH-092,743.62,326
RT-00196,WH-061,WH-055,782.16,317
RT-00197,WH-070,WH-056,,288
RT-00198,WH-089,WH-092,968.04,168
RT-00199,WH-066,WH-014,920.73,272
RT-00200,WH-084,WH-029,840.80,189
RT-00201,WH-035,WH-070,346.34,163
RT-00202,WH-026,wh-016,358.59,19
RT-00203,WH-065,WH-006,140.87,340
 RT-00204 ,WH-096,WH-046,412.75,333
RT-00205,WH-068,WH-099,95.57,344
RT-00206,WH-078,WH-058,1031.08,236
RT-00207,WH-035,WH-041,678.12,48
RT-00208,WH-047,WH-003,263.95,109
RT-00209,WH-064,WH-089,46.33,75
RT-00210,WH-004,WH-078,1345.41,148,
RT-00211,WH-040,WH-021,936.69,164
RT-00212,WH-038,WH-054,55.89,252
RT-00213,,WH-072,244.09,92
RT-00214,WH-057,WH-099,1335.9704847967143km,336
RT-00215,WH-040,WH-037,314.12,182
RT-00216,,WH-012,477.43,25
RT-00217,WH-080,WH-052,782.91,320
RT-00218,WH-060,WH-054,537.82,233
RT-00219,WH-028,WH-030,985.13,343
RT-00220,WH-053,WH-057,755.28,260
RT-00221,WH-080,WH-038,1307.73,303
rt-00222,,WH-061,941.61,225
RT-00223, WH-038 ,WH-071,1462.20,24
RT-00224,WH-025,WH-063,956.92,354
RT-00225,wh-100,WH-063,801.91,123
RT-00226,WH-020,WH-044,993.43,264
RT-00227,WH-083,WH-050,null,355
rt-00228,WH-026,WH-092,1154.19,205
RT-00229,WH-022,WH-093,1439.95,73
RT-00230,WH-054,WH-022,652.33,94
,wh-012,WH-057,null,107
RT-00232,WH-022,WH-027,650.37
RT-00233,WH-066,WH-045,null,267
RT-00234,WH-089,WH-070,1405.35,285
RT-00235,WH-019,WH-061,277.32,37
RT-00236,WH-017, WH-031 ,254.35,148
RT-00237,WH-021,WH-034,631.17,266
RT-00238,WH-040, WH-096 ,770.09,345
RT-00239,WH-097,WH-003,988.26,92
 RT-00240 ,WH-077,WH-027,1196.33,295
RT-00241,WH-047,WH-062,1158.57,290
RT-00242,WH-099,WH-026,382.81331549572536km,218
, WH-071 ,WH-093,560.67,296
RT-00244,wh-047,WH-078,737.27,22
RT-00245,WH-038,WH-058,790.16,65
RT-00246,,WH-039,1445.69,303
 RT-00247 ,WH-075,WH-041,411.66,214
RT-00248,WH-100,WH-068,489.59,242
RT-00249,WH-068,WH-049,24.49,104
RT-00250,WH-014,WH-025,null,174
RT-00251,WH-008,WH-053,1455.98,244
 RT-00252 ,WH-040,WH-022,1300.44,331
RT-00253,WH-033,WH-062,522.17,193
RT-00254,WH-008, WH-045 ,492.60,130
RT-00255,WH-086,WH-001,287.21,322
,WH-035,WH-051,329.25,269,
RT-00257, WH-069 ,WH-096,1155.29,220
RT-00258,WH-093,WH-046,357.96,308
RT-00259,WH-003,WH-082,294.78,320
RT-00260,WH-038,WH-062,921.31,276
RT-00261,wh-095,WH-077,1478.83,N/A
RT-00262,WH-063,WH-078,677.86,295
RT-00263,WH-026,WH-058,1263.98,344
RT-00264,WH-072, WH-080 ,857.79,235
RT-00265,WH-034,WH-065, 158.70358374723878 ,55
RT-00266,WH-004,WH-078,437.54,304
RT-00267,WH-025,WH-081,1070.65,274
RT-00268,WH-054,WH-067,988.81,220
RT-00269,WH-007,wh-015,1021.40,141
RT-00270,,WH-085,867.04,167
RT-00271,WH-050,WH-055,622.78,125
RT-00272,WH-099, WH-048 ,46.88,257
RT-00273,WH-057,WH-068,846.41,219
RT-00274,WH-064,WH-046,313.97, 284 
RT-00275,WH-089,WH-058,1447.10,125
RT-00276,WH-080,WH-078,463.36,65
RT-00277,WH-010,WH-034,1430.93,136
rt-00278,WH-034,WH-017,895.44,169
RT-00279,WH-062,WH-009,768.81,244
RT-00280,WH-096,WH-095,515.28,26
RT-00281,WH-050,WH-075,817.96,322
RT-00282,WH-069,WH-060,294.96,N/A
RT-00283,WH-094,WH-069,660.27,179
 RT-00284 ,WH-024,WH-070, 94.93900614701109 ,99
RT-00285,WH-027,WH-058,1324.33,238
RT-00286,WH-060,WH-018,278.59,100
RT-00287,WH-027,WH-045,671.12,339
RT-00288,WH-030,WH-026,787.35,204
RT-00289,WH-064,WH-080,180.81,159
RT-00290,WH-093,WH-011,941.64,296
RT-00291, WH-081 ,WH-052,644.12,201
RT-00292,WH-068,WH-006,748.45,263
RT-00293,WH-050,WH-075,1012.13,186
RT-00294,WH-054,WH-072,113.77,138
RT-00295,WH-072,WH-064,913.82,216
RT-00296,WH-061,WH-094,485.20,263
RT-00297,WH-051,WH-048,214.07,323

RT-00298,WH-092,,1065.60,99
RT-00299,WH-017,WH-081,152.48,121
RT-00300, WH-014 ,WH-038,648.25,337
RT-00301, WH-012 ,WH-010,1201.85,
RT-00302,WH-040,WH-063,1409.48,225
RT-00303,WH-010,WH-026,845.57,219
RT-00304,WH-090,WH-015,228.14,45
RT-00305,wh-002,wh-065,1171.76,316
RT-00306,wh-075,WH-042,1168.02,260
RT-00307,WH-075,WH-026,457.04,132
RT-00308,WH-025,WH-080,180.99,195
RT-00309,WH-039,wh-028,46.40,117
RT-00310,WH-009,WH-015,196.97, 280 
RT-00311, WH-075 ,WH-091,450.49,138
RT-00312,WH-090,WH-032,114.60,63
RT-00313,WH-004,WH-042,638.35,155
RT-00314,WH-025,WH-078,600.08,151

RT-00315,WH-024,WH-006,377.51,19
RT-00316,WH-090, WH-096 ,21.69,86
RT-00317,WH-052,WH-034,269.78,338
RT-00318,WH-052,WH-100,563.41,259
 RT-00319 , WH-022 ,WH-046,1223.96,124
RT-00320,WH-032,WH-015,1274.75,19
rt-00321,WH-049,WH-061,705.28,190
RT-00322,WH-055,WH-086,940.26,314
 RT-00323 ,WH-056,WH-022,1236.32,305
RT-00324,WH-011,WH-025,1085.37,79
RT-00325,WH-028,WH-096,1384.57,324
RT-00326,WH-023,WH-089,258.21,122
RT-00327, WH-046 ,WH-059,882.09,168
RT-00328,WH-047,WH-012,1019.32,111
RT-00329,WH-051,WH-071,183.93,279
RT-00330,WH-005,WH-054,354.80,23
RT-00331,wh-033,WH-098,648.85,103
RT-00332,WH-071,WH-039,1153.19,65
RT-00333,WH-065,WH-080,,140
RT-00334,WH-069,WH-043,1196.20,186
RT-00335, WH-065 ,WH-045,,24
RT-00336,WH-064,WH-052,208.56,296
RT-00337,WH-077,WH-080,null,
RT-00338,WH-055,WH-098,1423.11,186
RT-00339,WH-034,WH-088,689.60,299
rt-00340,WH-012,WH-064,1255.05,100
RT-00341,WH-078,WH-043,1109.00,218
RT-00342,WH-041,WH-010,334.01,77
RT-00343,WH-058,WH-033,806.65,223
RT-00344,WH-045,WH-026,1373.35,241
 RT-00345 ,WH-006,WH-077,509.50,213
RT-00346,WH-057,WH-028,554.01,
RT-00347,wh-053,WH-098,1119.02,253,
RT-00348,WH-035,WH-044,603.05,247
RT-00349,WH-014,WH-057,988.7312112534227km,226
RT-00350,WH-045,WH-023,1015.08
RT-00351,WH-011,WH-044,952.97,176
RT-00352,WH-027,WH-082,133.19,230
RT-00353,WH-016,WH-083,393.93
RT-00354,WH-037,WH-006,120.10,301
RT-00355,WH-098,WH-065,252.59,55
RT-00356,WH-053,WH-074,N/A,209
RT-00357,WH-017, WH-040 ,1098.85,304
RT-00358,WH-031,WH-026,N/A,221

RT-00359,WH-097,WH-018,26.79,130
RT-00360,WH-049,WH-044,81.76,41
,WH-033,WH-010,286.85,32
RT-00362,WH-093,WH-084,299.53,296
RT-00363,WH-015,WH-043,83.41,343,
RT-00364,WH-045,WH-062,926.36,52
,WH-050,WH-081,998.5401097306305km,342
RT-00366,WH-087,WH-055,597.81,293

RT-00367,WH-008,WH-051,77.93,69
rt-00368,WH-024,WH-080,75.50,24
RT-00369, WH-035 , WH-013 , 655.2879462229477 ,318
RT-00370,wh-021,WH-085,57.26,189
RT-00371,WH-066,WH-033,1104.63,264
RT-00372,WH-063,WH-052,1468.37,264
RT-00373,WH-002,WH-036,321.18,250
rt-00374,WH-064,WH-016,1090.65,288
RT-00375,WH-015,WH-056,805.22,36
RT-00376,WH-041,WH-083,229.75,296
RT-00377,WH-079,WH-063,1323.07,N/A
RT-00378,WH-045,WH-089,1381.72,261
RT-00379,WH-061,WH-020,957.06,204
RT-00380,WH-094,WH-067,310.67,140
RT-00381,WH-088,WH-065,1281.08,N/A
RT-00382,wh-024,WH-098,633.61,52
RT-00383,WH-040,WH-065,1108.45,331
RT-00384,WH-011,WH-047,759.66,306
RT-00385, WH-010 ,WH-022,765.19,316
RT-00386,WH-025,WH-068,1341.57,167
RT-00387,WH-078,,1415.43,N/A,
RT-00388,WH-091,wh-034,849.99,338
RT-00389,WH-006,WH-076,612.90,89
RT-00390,WH-030,WH-024,95.85
RT-00391,WH-002,WH-030,1328.58,41
rt-00392,WH-003,WH-051,705.09,104
RT-00393,WH-068,WH-079,797.72,253
RT-00394,WH-066,WH-015,803.00,103
RT-00395,WH-003,WH-083,1165.73,208
RT-00396,WH-005,WH-084,953.44,152
RT-00397, WH-014 ,WH-013,1184.68,165
RT-00398,WH-004,WH-010,1034.62,310
 RT-00399 ,WH-018, WH-049 , 1180.9485466861388 ,58
RT-00400,WH-003,WH-087,962.49,287
RT-00401,WH-044,WH-037,951.62,139
RT-00402,WH-048,WH-087,504.41,206
RT-00403,WH-086,WH-083,1034.40,78
RT-00404,WH-038,WH-034,604.61,164
RT-00405,WH-048,WH-012,944.75,304
RT-00406,WH-095,wh-100,null,36
,WH-030,WH-092,85.52,45
RT-00408,WH-016,WH-088,1493.33,N/A
RT-00409,WH-087,WH-097,313.27,253
rt-00410,WH-047,WH-009,820.34,306
RT-00411,WH-044,WH-047,156.99, 67 
RT-00412,WH-022,WH-071,852.74,162
RT-00413,WH-012,WH-085,1453.64,184
RT-00414,WH-037,WH-096,1382.82,332
RT-00415,WH-063,WH-085,1149.16,267
RT-00416,WH-030,WH-098,1247.96,210
RT-00417,WH-056,WH-019,863.05, 259 
RT-00418,wh-097,WH-044,1440.34,209
RT-00419,WH-062,WH-100,600.68,246
RT-00420,WH-021,WH-095,114.98,102
 RT-00421 ,,WH-016,313.26,332
RT-00422,WH-016,WH-062,694.45
RT-00423,WH-077,wh-068,1108.90,182
RT-00424,WH-077,WH-012,841.51,37
RT-00425,WH-095,WH-003,665.81,171
RT-00426,WH-072,WH-051,741.03,151
RT-00427,WH-100,WH-033,,272
RT-00428,WH-040,WH-024,952.90,36
,WH-083,WH-041,286.45,265
RT-00430,WH-030,wh-095,958.30,202
RT-00431,WH-035,WH-094,92.26,148
RT-00432,WH-006,WH-078,792.44,282
RT-00433, WH-079 ,WH-091,1411.67,22
RT-00434,WH-046,WH-084,677.48,133
RT-00435,,WH-001,1101.24,30
RT-00436,WH-088,WH-029,568.08,224
RT-00437,WH-086,WH-070,1429.84,108
RT-00438,WH-079,WH-017,528.39,156
RT-00439,WH-009,WH-056,1322.48
RT-00440,WH-009,WH-025,201.83,49
RT-00441,wh-027,WH-028,194.06,N/A
RT-00442,WH-021,WH-082,53.45,259
RT-00443,WH-027,WH-002,1231.71,297
RT-00444, WH-045 ,WH-001,524.18,71
RT-00445,WH-090, WH-046 ,541.80, 296 
rt-00446,WH-069,WH-066,550.43,40
RT-00447,WH-021,WH-088,851.40,317
 RT-00448 ,WH-052,WH-037,709.61,241
RT-00449,WH-093,WH-002, 88.12177184848481 ,52
RT-00450,WH-042,WH-017,758.79,200
RT-00451, WH-061 ,wh-094,464.61,314
RT-00452,WH-008,WH-001,651.21,306
RT-00453,WH-034,wh-010,398.35,114
RT-00454,WH-053,WH-015,81.66,318
 RT-00455 ,WH-001,WH-043,1376.06,321
RT-00456,WH-077,WH-054,171.07,161
RT-00457,WH-029,WH-006,350.42,122
RT-00458,WH-085,WH-048,1418.58,262
RT-00459,WH-030,WH-065,231.50,171
RT-00460,WH-094,WH-028,1244.61,169
RT-00461,WH-079,WH-014,341.68,297
RT-00462, WH-080 ,WH-016,1443.32,107
RT-00463,WH-006,WH-086,1062.7592855073106km,20
RT-00464,WH-066,WH-012,683.92,319
 RT-00465 ,WH-060,WH-075,1405.35,263
RT-00466,WH-071,WH-100,,250
RT-00467, WH-088 ,WH-029,464.38,254
RT-00468,WH-008,WH-052,705.14,286
RT-00469,WH-090,WH-092,480.76,207
RT-00470,WH-067,WH-037,1309.07,107
,WH-063,WH-069,868.31,190
RT-00472,WH-054,WH-032,146.09,226
RT-00473,wh-013,WH-089,686.37,151
rt-00474,WH-006,WH-015,1057.11,178
RT-00475,WH-082,wh-040,73.27,62
RT-00476,WH-011,WH-031,null,202
RT-00477, WH-092 ,WH-086,1102.38,52
rt-00478,WH-095,WH-054,1021.53,166
 RT-00479 , WH-033 ,WH-009,337.92,225
RT-00480,WH-025,WH-032,1022.75,193
RT-00481,WH-003,WH-094, 652.4938923685689 ,20
RT-00482,WH-044,WH-012,1045.25,180
RT-00483,WH-070,WH-010,1066.08,60
RT-00484,WH-023,WH-011,50.70,52
RT-00485,wh-037,WH-013,786.74,241
RT-00486,WH-098,WH-020,1096.49,272
RT-00487,WH-045,WH-009,1022.03,166
RT-00488,WH-099,WH-047,669.47,353
RT-00489,WH-044,wh-046,590.42,71
RT-00490, WH-092 ,WH-016,null,263
RT-00491,WH-032,WH-052,1243.47,206
RT-00492,WH-087,WH-043,939.71,168
RT-00493,WH-046,WH-005,N/A,107
RT-00494,WH-010,WH-063,186.33,354
RT-00495,WH-011,WH-087,886.06,352
RT-00496,WH-067,WH-077,610.88,271
RT-00497,WH-082,WH-067,1138.97,171
 RT-00498 ,WH-055,WH-090,873.37,212
RT-00499,WH-078,,1397.30,102
RT-00500,WH-078,WH-077,610.59,143
RT-00501,WH-079,WH-015,827.49,233
RT-00502,WH-080,,82.52
RT-00503,WH-062,WH-070,332.33,316
RT-00504,WH-008,WH-037,681.44,187
rt-00505,WH-058,WH-044,976.98,225
RT-00506,WH-029,wh-035,1101.01,27
RT-00507,WH-022,WH-045,1084.94,111
RT-00508,WH-094,WH-040,1466.33,77
RT-00509,WH-022,WH-065,757.13,301
RT-00510,WH-077,WH-005,1190.52,339
RT-00511,WH-012, WH-075 ,1060.24,135
RT-00512,WH-097,wh-071,882.43,332
RT-00513,WH-094,WH-045,1212.05,85
RT-00514,WH-068,WH-027,null,107
RT-00515,WH-093,WH-084,893.63,209
RT-00516,WH-061,WH-081,23.53,334
RT-00517,WH-073,WH-030,1295.04,114
RT-00518,WH-013,WH-063,924.87,333
RT-00519,WH-080,WH-045,1007.74,281
RT-00520,WH-002,wh-089,724.35,322
RT-00521,WH-043,WH-081, 606.3418213214253 ,36
RT-00522,WH-022,WH-004,927.05,29
RT-00523,WH-054,WH-022,488.91,86
RT-00524,WH-050,WH-098,675.99,75
RT-00525,WH-011,WH-042,503.55,62
rt-00526,WH-034,WH-072,199.51,198
RT-00527,WH-039,WH-095,1116.75,31
RT-00528,WH-083,wh-028,696.79,333
RT-00529,WH-087,WH-018,60.29,19
rt-00530,WH-087,WH-061,745.66,96
RT-00531,WH-077,WH-014,1187.50,183
RT-00532,WH-100,WH-053,241.14,277
RT-00533,WH-061,WH-034,,305
RT-00534,WH-081,WH-088,N/A,236
RT-00535,WH-044,WH-034,499.25,177
 RT-00536 ,WH-001,WH-096,1047.17,61
RT-00537,WH-037,WH-038,503.93,196
RT-00538,WH-082,WH-050,38.11,217
RT-00539,WH-068,WH-003,1458.50,347
RT-00540,WH-067,WH-061,324.90,277
RT-00541,WH-033,WH-083,1397.81,70
RT-00542, WH-046 ,WH-031,131.85,256
 RT-00543 ,WH-003,WH-095,1444.10
RT-00544,WH-009,WH-093,,48
RT-00545,WH-010,WH-075,1218.14,235
RT-00546,WH-092,WH-034,306.37,192
RT-00547,WH-006,WH-079,1350.43,306
,WH-095,WH-097,669.75,234
RT-00549,WH-062,WH-072,null,67
RT-00550,WH-089,WH-048,882.39,166
RT-00551,WH-045,WH-053,1240.37,118
rt-00552,WH-090,WH-030,414.35,292
RT-00553,WH-086,WH-009,1447.97,70
RT-00554,WH-074,WH-026,778.05,124
RT-00555,WH-030,WH-018,867.0565835658003km,326
RT-00556,wh-075,WH-082,1300.72,248
RT-00557,wh-062,WH-022,1344.76,138
RT-00558,wh-020,WH-035,1219.88,175
RT-00559,WH-017,WH-079,364.87,248
RT-00560,WH-012,WH-035,420.16,305
RT-00561,WH-026,WH-002,842.60,155
RT-00562,WH-046,WH-098,N/A,49
RT-00563,WH-009,WH-026,749.30,133
RT-00564,WH-088,WH-016,371.14,338
RT-00565,WH-027,WH-006,683.49,72
RT-00566,WH-090,,1392.79,88
RT-00567,WH-023,WH-091,,210
RT-00568,WH-057,WH-034,286.50,314
rt-00569,,WH-008,153.30,79
,WH-075,WH-037,866.08,35
 RT-00571 ,WH-063,WH-080,912.19, 172 
RT-00572,WH-031,WH-085,1057.69,99
RT-00573,WH-006,WH-074,N/A,99
RT-00574, WH-078 ,WH-099,159.26,192
RT-00575,WH-074,WH-005,797.12,268
RT-00576,WH-044,WH-023,249.03,22
RT-00577,WH-021,WH-020,1496.05,275
RT-00578,WH-088,WH-098,689.63,346,
RT-00579,WH-005, WH-036 ,398.10,83
RT-00580,WH-070,WH-034,933.94,350
,WH-030, WH-056 ,147.65,185
RT-00582,WH-017,WH-028,1005.03,47
RT-00583,WH-073,WH-057,1266.81
RT-00584,WH-044,WH-051,1214.84,202
RT-00585,WH-044,WH-028,885.11,106
RT-00586,WH-028,WH-004,1155.56,154
RT-00587,WH-070,WH-066,589.33,17
rt-00588,,wh-031,null,132
RT-00589,WH-042,WH-001,1078.26,258
RT-00590,WH-050,WH-099,1493.59,96
RT-00591,wh-040,WH-044,1248.96,167
RT-00592,WH-043,WH-018,136.78,23
rt-00593,WH-033,WH-041,40.44
RT-00594,WH-032,WH-004,820.41, 338 
RT-00595,WH-068,WH-052,N/A,145
 RT-00596 ,WH-063,WH-067,928.56,120
RT-00597,WH-083,WH-099,1010.61,147
RT-00598,WH-067,WH-097,N/A,312
RT-00599,WH-044,WH-079,894.96,167
RT-00600,WH-074,WH-025,610.0221448650201km,43
RT-00601,wh-022,WH-046,,347
RT-00602,WH-004,wh-062,250.06,248
RT-00603,WH-077,WH-083,757.58,342
RT-00604,WH-014,WH-049,42.55, 324 
 RT-00605 ,WH-033,WH-008,248.96,178
 RT-00606 ,WH-033,WH-030,349.05,232
